Sample	Location
jon.	Jonathan
tank.	Tank
ANM11	West Grande Terre
ANM14	West Grande Terre
ANM15	West Grande Terre
CC06	East Grande Terre
CC21	East Grande Terre
CC27	East Grande Terre
CC33	East Grande Terre
DDM18	South Grande Terre
DDM40	South Grande Terre
DJL17	South Grande Terre
DJL24	South Grande Terre
GTE01	North East Grande Terre
GTE05	North East Grande Terre
MCAMP30	East Malabar
MCAMP31	East Malabar
MCAMP33	East Malabar
MCAMP34	East Malabar
MCAMP35	East Malabar
MLR1	Middle Malabar
MLR2	Middle Malabar
MLR3	Middle Malabar
MLR5	Middle Malabar
MLR7	Middle Malabar
TK11	East Grande Terre
TK12	East Grande Terre
WMAL2	West Malabar
WMAL3	West Malabar
WMAL4	West Malabar
WMAL5	West Malabar
WMAL7	West Malabar
ZOO1	Zurich Zoo
ZOO2	Zurich Zoo
