"","Promoters","Gene_ID","Gene_Name","Coefficient","Estimate","pvalue"
"(Intercept)","(Intercept)",NA,NA,3.16778948197575,"Estimate","Pvalue"
"FP003100","FP003100","AGBL5_1","AGBL5",-2.85237468989707,"-0.175716158875455","0.00433297642494155"
"FP009699","FP009699","RNF8_2","RNF8",0.12306003243999,"0.0440552220589975","0.477684777647631"
"FP010132","FP010132","GRIK2_2","GRIK2",7.86010349120852,"0.352785510192929","4.28140853926992e-09"
"FP010903","FP010903","NEUROD6_1","NEUROD6",-1.85533161206127,"-0.0193879405841359","0.75477449818915"
"FP016407","FP016407","LRP5_1","LRP5",1.63477572089016,"0.234109419983953","0.000131007641335892"
"FP023502","FP023502","HOXB6_1","HOXB6",1.27500894994972,"-0.041918335209567","0.499319882584047"
"FP023586","FP023586","TOB1_2","TOB1",-2.75744348686513,"-0.102826491367123","0.0967457804776748"
"FP024524","FP024524","CCDC102B_1","CCDC102B",0.731208575310449,"0.258218353682859","2.3200578641319e-05"
"FP024552","FP024552","TSHZ1_2","TSHZ1",-2.65224789672478,"-0.14502536716095","0.0188417933159734"
"FP015095","FP015095","TCF7L2_1","TCF7L2",-0.173154770515123,"-0.142180997418446","0.0213293104865303"
"FP022697","FP022697","VAMP2_3","VAMP2",0.624247667983291,"0.116990021191477","0.058611900182733"
"FP022936","FP022936","ALDOC_2","ALDOC",2.22413944111625,"0.213615063949327","0.000498801626053309"
"FP025754","FP025754","RAB4B_2","RAB4B",-1.99520176837866,"-0.312960567320204","2.31611652383605e-07"
"FP027242","FP027242","SALL4_1","SALL4",-0.813383212961138,"-0.163735979942384","0.00791741391388397"
"FP003522","FP003522","BOLA3_2","BOLA3",0.265174885686871,"0.0310520171354073","0.616836956616971"
"FP004897","FP004897","OGG1_2","OGG1",-0.839599477630246,"0.0112128538439002","0.856655061896979"
"FP005635","FP005635","FAM19A1_3","FAM19A1",1.16743504167294,"0.149350711842328","0.0155427751875104"
"FP007180","FP007180","SNCA_3","SNCA",6.80389386805047,"0.255290516397209","2.88977871805883e-05"
"FP007395","FP007395","LARP1B_3","LARP1B",-2.09639042933217,"-0.177803095753248","0.00388595225241172"
"FP007500","FP007500","FBXW7_2","FBXW7",-2.72791920866633,"-0.190809557258626","0.00192018621860694"
"FP007828","FP007828","SUB1_1","SUB1",0.220930145980269,"0.216750573002017","0.000409723131617978"
"FP010752","FP010752","AHR_2","AHR",5.72133033153037,"0.20774815193085","0.000715396037354486"
"FP011625","FP011625","ST7_5","ST7",-17.8718590848586,"-0.248597141831007","4.72739722207076e-05"
"FP012623","FP012623","TRIQK_2","TRIQK",0.859854519429786,"0.246176366920383","5.62966563922126e-05"
"FP013368","FP013368","C9orf85_1","C9orf85",1.1692385456568,"0.171613699124894","0.00534912562960955"
"FP014583","FP014583","CTNNA3_1","CTNNA3",-2.87898982067626,"-0.211130826791309","0.000581781346140273"
"FP016798","FP016798","C11orf1_1","C11orf1",0.190085634038284,"0.246611852334462","5.45622329592967e-05"
"FP018961","FP018961","CAB39L_2","CAB39L",-1.95746997602845,"-0.137171262189231","0.0264052293570624"
"FP022112","FP022112","DDX19B_2","DDX19B",-2.00821197736102,"-0.0948668340151184","0.125604397415471"
"FP024526","FP024526","CD226_1","CD226",1.87912260588521,"0.147315940488241","0.0170258808223256"
"FP029147","FP029147","PLP1_1","PLP1",1.57637642195055,"0.221751828097092","0.000297642003557127"
"FP009184","FP009184","SYCP2L_5","SYCP2L",-0.0409610313319357,"-0.173879908478046","0.00476408117956733"
"FP005343","FP005343","WDR6_2","WDR6",1.1354467306014,"0.311340625624371","2.69230814552723e-07"
"FP024584","FP024584","ADNP2_2","ADNP2",2.76873888509202,"0.323305756613339","8.67103529048315e-08"
"FP004392","FP004392","C2orf69_1","C2orf69",0.604004849121856,"0.270915875351211","8.68172781772501e-06"
"FP000866","FP000866","RAD54L_1","RAD54L",0.743641307913067,"0.26554815778447","1.32350555418458e-05"
"FP005772","FP005772","PLCXD2_2","PLCXD2",2.76313839397562,"0.175839475534053","0.00430532580960354"
"FP003724","FP003724","VWA3B_2","VWA3B",0.76449563297177,"0.247713425878142","5.03969345502864e-05"
"FP006451","FP006451","SST_2","SST",-6.47273720106624,"-0.303360487324371","5.57788814718502e-07"
"FP021681","FP021681","ASPHD1_1","ASPHD1",0.975385997831905,"0.194744598365289","0.00153742121262813"
"FP027553","FP027553","CLIC6_1","CLIC6",1.56481664157199,"0.231096745075694","0.000160680405762792"
"FP001731","FP001731","LCE3D_1","LCE3D",2.63948641511891,"0.222985736997227","0.000274771264518604"
